variable,coefficient,abs_coef,p_value,lasso_coefficient,selected,rf_importance,xgb_importance,shap_importance,rank_logit,rank_rf,rank_shap,average_rank,final_rank
access_agents,19.78142861150703,19.78142861150703,0.85336283819476,0.41002981709327224,True,0.49018859961902783,0.73200476,3.5970407,1.0,1.0,1.0,1.0,1
transactional_account_binary,-6.874389301641877,6.874389301641877,0.8792702050639452,0.061953481886414134,True,0.22369347540155626,0.01995194,0.49884045,2.0,2.0,3.0,2.3333333333333335,2
wealth_numeric,0.4944209720139115,0.4944209720139115,5.1239840146756697e-82,0.04611106484731316,True,0.07452131149968945,0.008334937,0.2299771,3.0,3.0,5.0,3.6666666666666665,3
education_numeric,0.410110189247,0.410110189247,5.469533537662711e-78,0.03522717401669967,True,0.06484234552221296,0.028641436,0.23069113,4.0,4.0,4.0,4.0,4
year_2023,-0.3349621625805301,0.3349621625805301,7.479564364394984e-57,-0.05117538483830279,True,0.03201418673509512,0.13223088,0.6176479,5.0,6.0,2.0,4.333333333333333,5
income_numeric,0.2013941513849135,0.2013941513849135,1.425005016311947e-16,0.0040433013654583684,True,0.034287147199884044,0.0031559684,0.11191091,8.0,5.0,10.0,7.666666666666667,6
savings_frequency_numeric,-0.12804109540364023,0.12804109540364023,5.438041835296349e-13,-0.0016177541096660843,True,0.0214977295421358,0.006702072,0.16388014,12.0,7.0,7.0,8.666666666666666,7
runs_out_of_money,0.18333938024798732,0.18333938024798732,2.8876137388778197e-26,0.01849489961305271,True,0.0036475407709300463,0.004972962,0.15418899,9.0,13.0,8.0,10.0,8
urban,0.11608604206333407,0.11608604206333407,6.204608570470982e-08,0.008062156825457684,True,0.013855027914335263,0.004444193,0.114603,13.0,8.0,9.0,10.0,9
Population,-0.034195278602538196,0.034195278602538196,0.07125042502208077,0.0032569499705884766,True,0.008914532731096382,0.0030981058,0.18002294,16.0,10.0,6.0,10.666666666666666,10
mobile_money_binary,0.3057410775502191,0.3057410775502191,0.9999996716533402,-0.20607707778053622,True,0.01323900461338974,0.032219976,0.015451906,6.0,9.0,18.0,11.0,11
region_South West,-0.208866344001624,0.208866344001624,2.7753690385167044e-20,-0.011754377475394671,True,0.0027170892542537823,0.0038298783,0.060323995,7.0,14.0,14.0,11.666666666666666,12
gender_male,0.13201422285415979,0.13201422285415979,9.276649478672197e-14,0.014905074339939569,True,0.0023731466566737185,0.004596638,0.10480666,11.0,15.0,11.0,12.333333333333334,13
region_North West,0.16183364156437885,0.16183364156437885,1.9490390526131044e-13,0.006483321455668229,True,0.004503838011249681,0.003060284,0.0334059,10.0,12.0,16.0,12.666666666666666,14
Age_numeric,0.028700991018459486,0.028700991018459486,0.09658756124804624,0.00013572071245772764,True,0.0055672373058520954,0.00231013,0.10105365,17.0,11.0,12.0,13.333333333333334,15
region_South East,0.06288674292847073,0.06288674292847073,0.0023533043443504462,0.005297783192314235,True,0.0015067174477642299,0.0044305064,0.07177341,15.0,16.0,13.0,14.666666666666666,16
region_North East,0.0991677511665836,0.0991677511665836,2.1916040545759375e-06,0.0024868572897593657,True,0.001501611965602146,0.0028969536,0.026460588,14.0,17.0,17.0,16.0,17
region_South South,-0.01711927074135095,0.01711927074135095,0.42500605516042356,0.000411891971257065,True,0.001129457809251488,0.003118397,0.043866854,18.0,18.0,15.0,17.0,18
year_2020,0.0,0.0,1.0,0.0,False,0.0,0.0,0.0,19.0,19.0,19.0,19.0,19
