variable,lasso_coefficient,abs_coef,selected
access_agents,0.41002981709327224,0.41002981709327224,True
mobile_money_binary,-0.20607707778053622,0.20607707778053622,True
transactional_account_binary,0.061953481886414134,0.061953481886414134,True
year_2023,-0.05117538483830279,0.05117538483830279,True
wealth_numeric,0.04611106484731316,0.04611106484731316,True
education_numeric,0.03522717401669967,0.03522717401669967,True
runs_out_of_money,0.01849489961305271,0.01849489961305271,True
gender_male,0.014905074339939569,0.014905074339939569,True
region_South West,-0.011754377475394671,0.011754377475394671,True
urban,0.008062156825457684,0.008062156825457684,True
region_North West,0.006483321455668229,0.006483321455668229,True
region_South East,0.005297783192314235,0.005297783192314235,True
income_numeric,0.0040433013654583684,0.0040433013654583684,True
Population,0.0032569499705884766,0.0032569499705884766,True
region_North East,0.0024868572897593657,0.0024868572897593657,True
savings_frequency_numeric,-0.0016177541096660843,0.0016177541096660843,True
region_South South,0.000411891971257065,0.000411891971257065,True
Age_numeric,0.00013572071245772764,0.00013572071245772764,True
year_2020,0.0,0.0,False
