variable,rf_importance,rank
access_agents,0.49018859961902783,1
transactional_account_binary,0.22369347540155626,2
wealth_numeric,0.07452131149968945,3
education_numeric,0.06484234552221296,4
income_numeric,0.034287147199884044,5
year_2023,0.03201418673509512,6
savings_frequency_numeric,0.0214977295421358,7
urban,0.013855027914335263,8
mobile_money_binary,0.01323900461338974,9
Population,0.008914532731096382,10
Age_numeric,0.0055672373058520954,11
region_North West,0.004503838011249681,12
runs_out_of_money,0.0036475407709300463,13
region_South West,0.0027170892542537823,14
gender_male,0.0023731466566737185,15
region_South East,0.0015067174477642299,16
region_North East,0.001501611965602146,17
region_South South,0.001129457809251488,18
year_2020,0.0,19
