Year,region,FormallyIncluded,access_agents,education_numeric,wealth_numeric
2018,North Central,0.5,0.14844538091464765,1.7041302621127878,2.523431294678316
2018,North East,0.3034750701489316,0.0735155378412874,1.448305633498813,1.6697604144183036
2018,North West,0.2695942190105614,0.05626563586814039,1.3098017417083565,1.7027978506577728
2018,South East,0.5631408526713437,0.1365702036753401,1.7760388559093363,2.9862385321100917
2018,South South,0.55826859045505,0.1505779175926748,1.8430632630410655,3.1700332963374027
2018,South West,0.5798358733880422,0.19104663581052317,1.8107854630715123,3.3509964830011723
2020,North Central,0.5400145507457257,0.2166132141275345,1.8022917424518006,2.54547108039287
2020,North East,0.3310047257037189,0.11898674269283945,1.5769467844668172,1.8099445243476475
2020,North West,0.2213795594077284,0.07122122030177391,1.3111231491513182,1.687793427230047
2020,South East,0.5705329153605015,0.2223822022349838,1.8304798649626235,2.981191222570533
2020,South South,0.5740149094781682,0.2439803457362726,1.8545260915867945,3.1099041533546328
2020,South West,0.5827970827970828,0.23865287620020256,1.8013728013728014,3.448090948090948
2023,North Central,0.6546602302265132,0.3429536920543976,1.760490159673227,3.040683633661527
2023,North East,0.41472366148531953,0.16675337155246292,1.368307426597582,1.8639602677607428
2023,North West,0.3939051918735892,0.1590370346450397,1.2874341610233258,2.1044214487300095
2023,South East,0.6119402985074627,0.3000051762325279,1.7444673185795163,3.387744593202884
2023,South South,0.7752956636005256,0.3974850534519412,1.8298291721419184,3.7117196056955093
2023,South West,0.8508467216673904,0.5051530036638309,1.8966565349544073,4.087711680416848
