feature,importance,adjusted_importance,domain_weight
Own_Business_Provide_service,0.25468020213511394,0.25468020213511394,1.0
"Get_Money_From_Family_Friends(unemployed, 
non -students)_Yes",0.1466000463064843,0.1466000463064843,1.0
Is there a microfinance close to where you live (home)_yes,0.1390701877411484,0.1390701877411484,1.0
NIN,0.08185791257836805,0.11460107760971526,1.4
E9_19_Get_Money_From_Family_Friends(retired)_No,0.07032937032356766,0.07032937032356766,1.0
Bank_Account,0.05289427790379813,0.06347313348455776,1.2
Subsistence_Small scale farming_No,0.042445180474983336,0.042445180474983336,1.0
Sector_Urban,0.039942328249804974,0.039942328249804974,1.0
Microfinance_Bank_Near_Home,0.019696776822392157,0.02363613218687059,1.2
Get_Money_From_Family_Friends_Retired,0.023173690044727586,0.023173690044727586,1.0
